Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
3106875,"December 31, 2024",California,Stockton,E March Ln and Holiday Dr,1,0,0,0,0,N/A
3106780,"December 31, 2024",California,Escondido,1100 block of E Third Ave,0,2,0,0,0,N/A
3106767,"December 31, 2024",California,Dinuba,40500 block of Rd 84,0,1,0,0,0,N/A
3106541,"December 31, 2024",California,Los Angeles,636 Maple Ave,1,0,0,0,0,N/A
3106715,"December 31, 2024",California,Oakland,200 block of Second St,1,3,0,0,0,N/A
3107500,"December 31, 2024",California,Vallejo,100 block of Kemper St,1,0,0,0,0,N/A
3180790,"December 31, 2024",California,San Jose,Don Alfonso Way and Entrada Cedros,0,1,0,0,1,N/A
3106896,"December 31, 2024",California,Clovis,107 Osmun Cir,0,1,0,0,0,N/A
3107515,"December 31, 2024",California,Port Hueneme,2500 block of Sextant Ave,0,1,0,0,1,N/A
3105819,"December 31, 2024",California,Oakland,1350 14th St,1,0,0,0,1,N/A
3105561,"December 30, 2024",California,Los Angeles,E 7th St and Maple Ave,0,2,0,0,0,N/A
3105825,"December 30, 2024",California,Oakland,4300 block of Fleming Ave,1,0,0,0,1,N/A
3105706,"December 30, 2024",California,Los Angeles,735 S Figueroa St,0,2,0,0,1,N/A
3105814,"December 30, 2024",California,Stockton,1900 block of N Wilson Way,0,1,0,0,0,N/A
3104686,"December 30, 2024",California,Oakland,2800 block of 67th Ave,0,1,0,0,0,N/A
3105566,"December 30, 2024",California,Los Angeles,11708 Parmelee Ave,0,1,0,0,0,N/A
3105559,"December 30, 2024",California,Los Angeles,1831 Hillhurst Ave,0,1,0,0,0,N/A
3104680,"December 30, 2024",California,Long Beach,1350 E Anaheim St,0,1,0,0,0,N/A
3105842,"December 30, 2024",California,Sacramento,9351 Wild Lilac Cir,0,0,1,0,0,N/A
3106865,"December 29, 2024",California,Novato,N/A,0,1,0,0,1,N/A
3104569,"December 29, 2024",California,Rowland Heights,18308 Colima Rd,1,0,0,0,0,N/A
3104962,"December 29, 2024",California,Bell,6700 block of Chanslor Ave,0,0,0,1,1,N/A
3104585,"December 29, 2024",California,Lakewood,20626 Alburtis Ave,1,2,0,0,0,N/A
3104688,"December 29, 2024",California,Woodland Hills,21706 Ventura Blvd,0,0,1,0,0,N/A
3104683,"December 29, 2024",California,Los Angeles,3150 Glendale Blvd,0,1,0,0,0,N/A
3104675,"December 29, 2024",California,Los Angeles,E 25th St and Maple Ave,0,1,0,0,0,N/A
3104636,"December 29, 2024",California,Oakland,722 W MacArthur Blvd,0,1,0,0,0,N/A
