"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
1289500,"December 31, 2018",Texas,"Houston (Cloverleaf)","14200 block of Duncannon Dr",1,2,0,0,0,N/A
1289686,"December 31, 2018",Ohio,Cleveland,"4462 Denison Ave",3,2,0,0,0,N/A
1288704,"December 30, 2018",Pennsylvania,Philadelphia,"617 W Erie Ave",0,3,0,0,0,N/A
1288527,"December 30, 2018",Virginia,"Virginia Beach","1000 block of Coach Cir",2,1,0,0,0,N/A
1288142,"December 30, 2018",California,Sacramento,"7th St and K St",2,2,0,0,0,N/A
1288833,"December 30, 2018",Ohio,Youngstown,"720 Williamson Ave",1,2,0,0,1,N/A
1288126,"December 30, 2018",Florida,Orlando,"7000 Block of Udine St",0,3,0,1,0,N/A
1289168,"December 29, 2018",Indiana,Marion,"2300 block of Gallatin St",3,0,0,0,2,N/A
1288376,"December 29, 2018",Ohio,Lima,"904 S Main St",1,3,0,0,1,N/A
1287402,"December 29, 2018",Ohio,Cleveland,"5307 Woodland Ave",0,3,0,0,0,N/A
1288765,"December 29, 2018",Pennsylvania,Reading,"200 W Douglass St",0,3,0,0,0,N/A
1287739,"December 29, 2018",Nevada,"North Las Vegas","3300 block of Civic Center Dr",0,3,0,0,0,N/A
1287793,"December 29, 2018",Louisiana,"Baton Rouge","10979 Coursey Blvd G",0,3,0,0,1,N/A
1286868,"December 28, 2018",Georgia,Milledgeville,"1498 Edwards St",0,3,0,0,0,N/A
1289078,"December 28, 2018",California,"Los Angeles","89th St and Central Ave",1,2,0,0,1,N/A
1286738,"December 28, 2018",Florida,Miami,"800 block of NW 70th St",2,1,0,0,0,N/A
1287286,"December 28, 2018",Missouri,"Saint Charles","150 Whetstone Dr",4,0,0,1,1,N/A
1287947,"December 28, 2018","District of Columbia",Washington,"1200 block of N Capitol St NW",0,3,0,0,0,N/A
1285813,"December 27, 2018",Massachusetts,Boston,"7 Dyer St",1,2,0,0,0,N/A
1287063,"December 27, 2018",Mississippi,Newton,"300 block of Scanlan St",0,3,0,0,0,N/A
1285911,"December 27, 2018",Pennsylvania,Philadelphia,"2200 N Gratz St",2,1,0,0,0,N/A
1290077,"December 26, 2018",Washington,"Port Angeles","50 block of Bear Meadow Rd",3,0,0,0,2,N/A
1285214,"December 26, 2018",Texas,Dallas,"4900 block of Rand Ave",0,3,0,0,0,N/A
1287186,"December 26, 2018",California,"Santa Clarita","Railroad Ave and Drayton St",0,3,0,0,0,N/A
1285635,"December 26, 2018",Georgia,"Stone Mountain","Old Highgate Entry",0,3,0,0,0,N/A
1285059,"December 26, 2018",Florida,Miami,"NW 62nd St and NW 20th Ave",1,2,0,0,1,N/A
1285167,"December 26, 2018",Georgia,"Stone Mountain","4700 block of Old Highgate Entry",0,3,0,0,0,N/A
