Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
3106259,"December 31, 2024",Illinois,Chicago,1107 S Mozart St,0,1,0,0,0,N/A
3106276,"December 31, 2024",Illinois,Lewistown,518 S Main St,1,0,0,0,1,N/A
3105718,"December 31, 2024",Illinois,Chicago,7200 block of S Blackstone Ave,0,2,0,0,0,N/A
3106250,"December 31, 2024",Illinois,Chicago,11000 block of S State St,1,0,0,0,1,N/A
3107214,"December 31, 2024",Illinois,Chicago,6900 block of S State St,0,1,0,0,0,N/A
3106318,"December 31, 2024",Illinois,Chicago,6808 S Michigan Ave,0,1,0,0,0,N/A
3105742,"December 30, 2024",Illinois,Chicago,74th Pl and Racine Ave,0,1,0,0,0,N/A
3104644,"December 30, 2024",Illinois,Chicago,1659 W Cullerton St,1,2,0,0,0,N/A
3104693,"December 30, 2024",Illinois,Chicago,5000 W Washington Blvd,0,1,0,0,0,N/A
3104353,"December 29, 2024",Illinois,Chicago,1506 W 80th St,0,1,0,0,0,N/A
3104191,"December 29, 2024",Illinois,Rockford,205 W State St,0,1,0,0,0,N/A
3104690,"December 29, 2024",Illinois,Chicago,7900 S Cottage Grove Ave,0,1,0,0,0,N/A
3104541,"December 29, 2024",Illinois,Chicago,3320 W Adams St,0,1,0,0,0,N/A
3103466,"December 28, 2024",Illinois,Chicago,4300 block of W North Ave,0,1,0,0,0,N/A
3103508,"December 27, 2024",Illinois,Chicago,4620 N Kedzie Ave,0,1,0,0,0,N/A
3103496,"December 27, 2024",Illinois,Chicago,6827 S Michigan,0,1,0,0,0,N/A
3103493,"December 27, 2024",Illinois,Chicago,8100 block of S Lafayette Ave,0,1,0,0,1,N/A
3103708,"December 27, 2024",Illinois,Rockford,922 Kilburn Ave,1,0,0,0,1,N/A
3102600,"December 26, 2024",Illinois,Chicago,826 N Trumbull,0,2,0,0,0,N/A
3102717,"December 26, 2024",Illinois,Park Forest,366 Miami St,2,0,0,0,1,N/A
3102298,"December 26, 2024",Illinois,East Saint Louis,400 block of N 6th St,1,0,0,0,1,N/A
3102746,"December 26, 2024",Illinois,Chicago,15 S Kilbourne Ave,0,1,0,0,0,N/A
3102760,"December 26, 2024",Illinois,Chicago,3845 W Gladys Ave,0,1,0,0,0,N/A
