"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3106916,"December 31, 2024",Minnesota,Minneapolis,"3700 block of Emerson Ave N",0,1,0,0,1,N/A
3106949,"December 31, 2024",Minnesota,Mankato,"20946 549th Ave",0,1,0,0,1,N/A
3104463,"December 29, 2024",Minnesota,"Saint Paul","306 Larpenteur Ave E",0,2,0,0,1,N/A
3104369,"December 29, 2024",Minnesota,Minneapolis,"1925 Plymouth Ave N",0,1,0,0,0,N/A
3104716,"December 29, 2024",Minnesota,"Deer Creek",N/A,1,0,0,0,0,N/A
3104376,"December 28, 2024",Minnesota,Minneapolis,"3000 block of Columbus Ave",0,1,0,0,0,N/A
3103243,"December 27, 2024",Minnesota,Minneapolis,"700 block of E Lake St",0,1,0,0,0,N/A
3101204,"December 24, 2024",Minnesota,"Saint Paul (Vadnais Heights)","4100 block of Centerville Rd",0,1,0,0,0,N/A
3101049,"December 24, 2024",Minnesota,Minneapolis,N/A,0,1,0,0,0,N/A
3100147,"December 22, 2024",Minnesota,Minneapolis,N/A,0,3,0,0,0,N/A
3100274,"December 22, 2024",Minnesota,Minneapolis,"36th Ave N and N Penn Ave",0,1,0,0,0,N/A
3099455,"December 21, 2024",Minnesota,Mankato,"500 block of E Walnut St",1,0,0,0,1,N/A
3098961,"December 20, 2024",Minnesota,"Saint Paul","1269 Payne Ave",0,1,0,0,0,N/A
3098902,"December 20, 2024",Minnesota,Minneapolis,N/A,0,1,0,0,0,N/A
3099459,"December 20, 2024",Minnesota,Minneapolis,"3500 block of Queen Ave N",0,1,0,0,0,N/A
3098727,"December 19, 2024",Minnesota,Minneapolis,"3500 block of N Penn Ave",1,0,0,0,0,N/A
3097314,"December 18, 2024",Minnesota,Minneapolis,"2900 block of 34th Ave S",0,1,0,0,0,N/A
3098126,"December 18, 2024",Minnesota,Minneapolis,"3000 block of N Oliver Ave",0,2,0,0,0,N/A
3097222,"December 18, 2024",Minnesota,Minneapolis,N/A,0,1,0,0,0,N/A
3096209,"December 17, 2024",Minnesota,"Saint Paul","400 N Dewey St",0,1,0,0,0,N/A
3095982,"December 17, 2024",Minnesota,Minneapolis,"3600 block of N Oliver Ave",0,1,0,0,0,N/A
3095411,"December 16, 2024",Minnesota,Minneapolis,"1104 E 25th St",1,0,0,0,0,N/A
3094057,"December 14, 2024",Minnesota,Minneapolis,"Nicollet Ave and E 27th St",0,1,0,0,0,N/A
3093466,"December 13, 2024",Minnesota,"Saint Paul (Roseville)","2540 Lexington Ave N",1,0,0,0,0,N/A
3091899,"December 11, 2024",Minnesota,Minneapolis,"36th Ave N and N Penn Ave",0,1,0,0,0,N/A
3089849,"December 8, 2024",Minnesota,"Minneapolis (Robbinsdale)","4199 46th Ave N",0,2,0,0,0,N/A
3089762,"December 7, 2024",Minnesota,"Minneapolis (Brooklyn Park)","8081 Brooklyn Blvd",1,1,0,0,1,N/A
3088558,"December 6, 2024",Minnesota,"Minneapolis (Richfield)","6200 block of 5th Ave S",1,0,0,0,1,N/A
3088554,"December 5, 2024",Minnesota,Minneapolis,"3900 block of 11th Ave S",0,1,0,0,1,N/A
3089054,"December 5, 2024",Minnesota,Minneapolis,"5200 block of Circle Down",0,1,0,0,1,N/A
3085525,"December 2, 2024",Minnesota,"Minneapolis (Robbinsdale)","Lowry Ave and France Ave N",1,0,0,0,2,N/A
3085925,"December 2, 2024",Minnesota,Minneapolis,"2600 Cedar Ave",1,0,0,0,0,N/A
3085927,"December 2, 2024",Minnesota,Minneapolis,"Russell Ave N",0,1,0,0,0,N/A
3085539,"December 1, 2024",Minnesota,Minneapolis,"3316 10th Ave S",1,0,0,0,0,N/A
