"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3106104,"December 31, 2024",Wisconsin,Tomah,"Mary Kay Ave",0,1,0,0,1,N/A
3105982,"December 31, 2024",Wisconsin,Milwaukee,"4800 block of N 32nd St",0,1,0,0,0,N/A
3107038,"December 31, 2024",Wisconsin,Beloit,"1100 block of Jackson St",0,1,0,0,0,N/A
3115836,"December 30, 2024",Wisconsin,Keystone,N/A,1,0,0,0,1,N/A
3105298,"December 30, 2024",Wisconsin,Milwaukee,"4108 N 27th St",1,0,0,0,1,N/A
3104866,"December 30, 2024",Wisconsin,Milwaukee,"3200 block of N 21st St",0,1,0,0,0,N/A
3105474,"December 30, 2024",Wisconsin,"New Lisbon","322 W Bridge St",3,0,0,0,1,N/A
3105202,"December 29, 2024",Wisconsin,Hayward,"W Popple Town Rd",0,1,0,0,0,N/A
3104351,"December 28, 2024",Wisconsin,Milwaukee,"1900 block of N 38th St",0,1,0,0,0,N/A
3105311,"December 28, 2024",Wisconsin,Milwaukee,"2800 block of N 38th St",0,1,0,0,0,N/A
3104355,"December 28, 2024",Wisconsin,Milwaukee,"Dr William Finlayson St and W Keefe Ave",0,1,0,0,0,N/A
3104359,"December 28, 2024",Wisconsin,Milwaukee,"3321 N 21st St",1,0,0,0,1,N/A
3103560,"December 27, 2024",Wisconsin,Milwaukee,"S 21st St and W Mitchell St",0,1,0,0,0,N/A
3102986,"December 26, 2024",Wisconsin,Beloit,"1200 block of Oak St",1,1,0,0,0,N/A
3101856,"December 25, 2024",Wisconsin,Milwaukee,"1212 S 37th St",2,0,0,0,1,N/A
3101854,"December 25, 2024",Wisconsin,Milwaukee,"6024 N 35th St",0,1,0,0,0,N/A
3101875,"December 24, 2024",Wisconsin,Milwaukee,"9143 W Appleton Ave",0,1,0,0,1,N/A
3100456,"December 23, 2024",Wisconsin,Milwaukee,"3700 block of W Lisbon Ave",0,0,0,2,2,N/A
3101059,"December 23, 2024",Wisconsin,Milwaukee,"N 51st St and W Meinecke Ave",0,1,0,0,0,N/A
3100476,"December 23, 2024",Wisconsin,Milwaukee,"3815 W Nash St",2,0,0,0,1,N/A
3100459,"December 22, 2024",Wisconsin,Milwaukee,"2500 block of W Glendale Ave",0,1,0,0,0,N/A
3100168,"December 21, 2024",Wisconsin,Milwaukee,"N Holton St and E Townsend St",0,3,0,0,0,N/A
3100260,"December 21, 2024",Wisconsin,"Chippewa Falls (Lafayette)","N 130th Ave and 50th Ave",0,0,1,0,0,N/A
