state_us,state_abb,population,area_sqm,area_sqkm,reps
Alabama,AL,"5,024,279","52,420","135,767",7
Alaska,AK,"733,391","665,384","1,723,337",1
Arizona,AZ,"7,151,502","113,990","295,234",9
Arkansas,AR,"3,011,524","53,179","137,732",4
California,CA,"39,538,223","163,695","423,967",52
Colorado,CO,"5,773,714","104,094","269,601",8
Connecticut,CT,"3,605,944","5,543","14,357",5
District of Columbia,DC,"678,972",61,158,0
Delaware,DE,"989,948","2,489","6,446",1
Florida,FL,"21,538,187","65,758","170,312",28
Georgia,GA,"10,711,908","59,425","153,910",14
Hawaii,HI,"1,455,271","10,932","28,313",2
Idaho,ID,"1,839,106","83,569","216,443",2
Illinois,IL,"12,812,508","57,914","149,995",17
Indiana,IN,"6,785,528","36,420","94,326",9
Iowa,IA,"3,190,369","56,273","145,746",4
Kansas,KS,"2,937,880","82,278","213,100",4
Kentucky,KY,"4,505,836","40,408","104,656",6
Louisiana,LA,"4,657,757","52,378","135,659",6
Maine,ME,"1,362,359","35,380","91,633",2
Maryland,MD,"6,177,224","12,406","32,131",8
Massachusetts,MA,"7,029,917","10,554","27,336",9
Michigan,MI,"10,077,331","96,714","250,487",13
Minnesota,MN,"5,706,494","86,936","225,163",8
Mississippi,MS,"2,961,279","48,432","125,438",4
Missouri,MO,"6,154,913","69,707","180,540",8
Montana,MT,"1,084,225","147,040","380,831",2
Nebraska,NE,"1,961,504","77,348","200,330",3
Nevada,NV,"3,104,614","110,572","286,380",4
New Hampshire,NH,"1,377,529","9,349","24,214",2
New Jersey,NJ,"9,288,994","8,723","22,591",12
New Mexico,NM,"2,117,522","121,590","314,917",3
New York,NY,"20,201,249","54,555","141,297",26
North Carolina,NC,"10,439,388","53,819","139,391",14
North Dakota,ND,"779,094","70,698","183,108",1
Ohio,OH,"11,799,448","44,826","116,098",15
Oklahoma,OK,"3,959,353","69,899","181,037",5
Oregon,OR,"4,237,256","98,379","254,799",6
Puerto Rico,PR,"3,205,691","3,424","8,868",0
Pennsylvania,PA,"13,002,700","46,054","119,280",17
Rhode Island,RI,"1,097,379","1,545","4,001",2
South Carolina,SC,"5,118,425","32,020","82,933",7
South Dakota,SD,"886,667","77,116","199,729",1
Tennessee,TN,"6,910,840","42,144","109,153",9
Texas,TX,"29,145,505","268,596","695,662",38
Utah,UT,"3,271,616","84,897","219,882",4
Vermont,VT,"643,077","9,616","24,906",1
Virgin Islands,VI,"98,750",134,348,0
Virginia,VA,"8,631,393","42,775","110,787",11
Washington,WA,"7,705,281","71,298","184,661",10
West Virginia,WV,"1,793,716","24,230","62,756",2
Wisconsin,WI,"5,893,718","65,496","169,635",8
Wyoming,WY,"576,851","97,813","253,335",1
