"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3288844,"August 17, 2025",Virginia,Richmond,"1100 block of Hull St",0,3,0,0,0,N/A
3288842,"August 17, 2025",Texas,Houston,N/A,1,0,0,0,0,N/A
3288830,"August 17, 2025",Delaware,Wilmington,"50 block of Vandever Ave",0,1,0,0,0,N/A
3288820,"August 17, 2025",Texas,Houston,"Harrisburg Blvd",0,1,0,0,0,N/A
3288818,"August 17, 2025",Texas,Spring,"23700 block of Pennington Hills Dr",0,1,0,0,0,N/A
3288804,"August 17, 2025",Texas,"San Antonio","3600 block of S WW White Rd",0,0,0,0,0,N/A
3288802,"August 17, 2025",Maryland,"Takoma Park","6300 block of New Hampshire Ave",1,0,0,0,0,N/A
3288794,"August 17, 2025",Texas,"San Antonio","Baltic Dr and Silver Oaks",0,1,0,0,0,N/A
3288749,"August 17, 2025",Michigan,Mears,"7500 block of Fox Rd",0,1,1,0,0,N/A
3288660,"August 17, 2025",Indiana,Indianapolis,"2136 Central Ave",1,0,0,0,0,N/A
3288726,"August 17, 2025","New York","Mount Vernon","Broad St and Cross County Pkwy",1,0,0,0,0,N/A
3288713,"August 17, 2025","New York","New York (Manhattan)","89 E 42nd St",0,1,0,0,0,N/A
3288723,"August 17, 2025",Illinois,Chicago,"1000 block of N Hamlin Ave",0,1,0,0,0,N/A
3288721,"August 17, 2025",Illinois,Chicago,"2800 block of E 78th S",0,1,0,0,0,N/A
3288711,"August 17, 2025","New York",Rochester,"Roycroft Dr",0,1,0,0,0,N/A
3288282,"August 17, 2025","New York",Brooklyn,"903 Franklin Ave",3,9,0,0,0,N/A
3288675,"August 17, 2025","New York",Bronx,"E 169th St and Washington Ave",0,1,0,0,0,N/A
3288665,"August 17, 2025","New York",Brooklyn,"1260 Sutter Ave",0,1,0,0,0,N/A
3288663,"August 17, 2025",Indiana,Indianapolis,"1500 block of Finley Ave",0,1,0,0,0,N/A
3288626,"August 17, 2025",Illinois,Peoria,"100 block of NE Perry Ave",0,1,0,0,0,N/A
3288610,"August 17, 2025",Minnesota,Minneapolis,"1700 block of E 31st St",0,1,0,0,0,N/A
3288606,"August 17, 2025",Minnesota,Minneapolis,"Bloomington Ave and E Lake St",0,1,0,0,0,N/A
3288602,"August 17, 2025",Tennessee,Memphis,"Latham St and Cambridge Ave",0,1,0,0,0,N/A
