,state_us,population,area_sqkm,pop_density,ms_rate,no_ms_inc,total_inj,total_kld,total_inj_kill,wpi,kpi,kld_to_wd,Suicide rate,Gun suicide rate,Suicide,prop_suic_w_gun,Homicide rate,Gun homicide rate,Homicide,prop_hom_w_gun,Gun deaths,gun_death_rate,gun_at_home
0,Alaska,733391,1723337,0.42556447171969264,1.2271762265967268,9,20,20,40,2.2222222222222223,2.2222222222222223,0.5,30.0,19.4,142,0.6466666666666666,6.7,4.2,31,0.6268656716417911,182,24.81623036006714,0.57
1,Alabama,5024279,135767,37.006629004102614,3.502990180282584,176,713,210,923,4.051136363636363,1.1931818181818181,0.2275189599133261,16.4,12.4,623,0.7560975609756099,14.8,12.9,650,0.8716216216216216,1315,26.172909585634077,0.53
2,Arkansas,3011524,137732,21.865100339790317,2.3244045207675583,70,307,85,392,4.385714285714286,1.2142857142857142,0.21683673469387754,20.4,12.9,391,0.6323529411764707,11.1,9.3,281,0.8378378378378379,698,23.177633649939366,0.52
3,Arizona,7151502,295234,24.223165353583937,1.090679971843677,78,260,132,392,3.3333333333333335,1.6923076923076923,0.336734693877551,20.3,12.1,879,0.5960591133004925,7.7,5.9,430,0.7662337662337663,1365,19.086899507264345,0.36
4,California,39538223,423967,93.25778421433743,1.3252998244255945,524,1949,678,2627,3.719465648854962,1.2938931297709924,0.25808907499048345,10.6,4.0,1575,0.37735849056603776,6.4,4.7,1861,0.734375,3576,9.044412542263217,0.16
5,Colorado,5773714,269601,21.415773680364687,1.6973476691086535,98,355,150,505,3.622448979591837,1.530612244897959,0.297029702970297,23.8,12.8,745,0.5378151260504201,6.3,4.7,276,0.746031746031746,1064,18.428346121751094,0.38
6,Connecticut,3605944,14357,251.16277773908197,1.0815475781099209,39,156,26,182,4.0,0.6666666666666666,0.14285714285714285,11.1,3.4,122,0.3063063063063063,4.4,3.2,116,0.7272727272727273,248,6.877533317211803,0.19
8,Delaware,989948,6446,153.57555072913433,2.525385171746395,25,92,19,111,3.68,0.76,0.17117117117117117,13.7,7.6,76,0.5547445255474452,10.3,8.0,80,0.7766990291262136,158,15.960434285437216,0.39
9,Florida,21538187,170312,126.46312062567523,1.6621640437981153,358,1391,450,1841,3.8854748603351954,1.2569832402234637,0.24443237370994025,15.4,8.9,1928,0.577922077922078,6.7,5.3,1150,0.7910447761194029,3142,14.588043088306364,0.29
10,Georgia,10711908,153910,69.59851861477487,2.4085345019766784,258,947,300,1247,3.6705426356589146,1.1627906976744187,0.24057738572574178,15.5,10.3,1115,0.6645161290322581,11.2,9.5,1021,0.8482142857142858,2200,20.537891102126718,0.38
11,Hawaii,1455271,28313,51.39939250520962,0.48101006616637043,7,19,12,31,2.7142857142857144,1.7142857142857142,0.3870967741935484,14.0,2.9,42,0.20714285714285713,2.7,1.6,23,0.5925925925925926,71,4.878816385401756,0.09
12,Iowa,3190369,145746,21.889924937905672,0.8776414264306104,28,103,35,138,3.6785714285714284,1.25,0.2536231884057971,17.2,9.2,293,0.5348837209302325,2.9,2.0,64,0.6896551724137931,364,11.409338543597935,0.39
13,Idaho,1839106,216443,8.4969530084133,0.3262454692660456,6,11,18,29,1.8333333333333333,3.0,0.6206896551724138,20.4,13.8,262,0.6764705882352942,2.2,1.5,28,0.6818181818181818,309,16.801641667201345,0.58
14,Illinois,12812508,149995,85.41956731891064,4.316094866048084,553,2271,455,2726,4.106690777576854,0.8227848101265823,0.1669112252384446,11.5,5.2,656,0.45217391304347826,11.7,10.2,1292,0.8717948717948718,1995,15.570721985110175,0.23
15,Indiana,6785528,94326,71.93698450056188,1.9453165619536168,132,522,143,665,3.9545454545454546,1.0833333333333333,0.21503759398496242,16.6,10.2,695,0.6144578313253011,9.2,7.6,517,0.8260869565217391,1251,18.43629559851496,0.42
