Day,Months present,Saturdays,Sundays,Total weekend days,Months (weekend occurrences)
1,12,1,2,3,"June(Sat), September(Sun), December(Sun)"
2,12,2,1,3,"March(Sat), June(Sun), November(Sat)"
3,12,2,2,4,"February(Sat), March(Sun), August(Sat), November(Sun)"
4,12,1,2,3,"February(Sun), May(Sat), August(Sun)"
5,12,1,1,2,"May(Sun), October(Sat)"
6,12,3,1,4,"January(Sat), April(Sat), July(Sat), October(Sun)"
7,12,2,3,5,"January(Sun), April(Sun), July(Sun), September(Sat), December(Sat)"
8,12,1,2,3,"June(Sat), September(Sun), December(Sun)"
9,12,2,1,3,"March(Sat), June(Sun), November(Sat)"
10,12,2,2,4,"February(Sat), March(Sun), August(Sat), November(Sun)"
11,12,1,2,3,"February(Sun), May(Sat), August(Sun)"
12,12,1,1,2,"May(Sun), October(Sat)"
13,12,3,1,4,"January(Sat), April(Sat), July(Sat), October(Sun)"
14,12,2,3,5,"January(Sun), April(Sun), July(Sun), September(Sat), December(Sat)"
15,12,1,2,3,"June(Sat), September(Sun), December(Sun)"
16,12,2,1,3,"March(Sat), June(Sun), November(Sat)"
17,12,2,2,4,"February(Sat), March(Sun), August(Sat), November(Sun)"
18,12,1,2,3,"February(Sun), May(Sat), August(Sun)"
19,12,1,1,2,"May(Sun), October(Sat)"
20,12,3,1,4,"January(Sat), April(Sat), July(Sat), October(Sun)"
21,12,2,3,5,"January(Sun), April(Sun), July(Sun), September(Sat), December(Sat)"
22,12,1,2,3,"June(Sat), September(Sun), December(Sun)"
23,12,2,1,3,"March(Sat), June(Sun), November(Sat)"
24,12,2,2,4,"February(Sat), March(Sun), August(Sat), November(Sun)"
25,12,1,2,3,"February(Sun), May(Sat), August(Sun)"
26,12,1,1,2,"May(Sun), October(Sat)"
27,12,3,1,4,"January(Sat), April(Sat), July(Sat), October(Sun)"
28,12,2,3,5,"January(Sun), April(Sun), July(Sun), September(Sat), December(Sat)"
29,12,1,2,3,"June(Sat), September(Sun), December(Sun)"
30,11,2,1,3,"March(Sat), June(Sun), November(Sat)"
31,7,1,1,2,"March(Sun), August(Sat)"
